frame,x_mean,y_mean,max_weight,neff,updated_template
0,574.4737057797283,433.81113585820873,0.3026783033251812,6.040093458298293,0
1,576.0527188146152,434.6529537483848,0.5835650515874334,2.8323211195967586,0
2,577.3601941684884,435.3675923422855,0.646494138083309,2.1816260359481197,0
3,582.478924471657,431.2295945448697,0.26660261919715644,6.222400327622253,0
4,583.3110328704332,438.17785602470855,0.7632774604434619,1.677713612392076,0
5,590.529380942462,435.7356796931107,0.2120574119899448,8.048990740290055,0
6,588.566870076432,445.5340889860991,0.58276217247048,2.440668727555798,0
7,597.8182426588836,439.66376783406463,0.3355545344766452,5.779052567524042,0
8,602.1080435237861,442.91544979473883,0.49506064792690707,3.468252876249529,0
9,604.9647182199368,447.7592229250818,0.18330459192567503,13.306421704113781,0
10,607.1016333401462,459.5912589472939,0.2886859115206682,6.116197584811594,0
11,622.6346029993719,424.8635908559345,0.11695932687125965,36.68887653813353,0
12,626.3833016671276,429.06934014562364,0.09599054503307232,48.22694936413098,0
13,627.3268557998986,425.54107051547294,0.15261030041942172,34.37373367147357,0
14,631.8101634945838,417.2634464966796,0.025511344380002993,132.94214884480863,0
15,634.1873019530165,411.6179974470675,0.03426914673810912,132.93854030265783,0
16,634.2577858812228,424.5411038163408,0.02716660711882804,157.7341517909868,0
17,637.3738102075403,425.18459259468295,0.02900758420991542,140.06008672527108,0
18,644.4410478519324,440.9904409900114,0.012034535869347218,164.24061439105955,0
19,642.4001649392551,439.8815226065377,0.016785873410477596,172.33840971933284,0
20,645.1670684510884,431.6611438268972,0.020856725418390506,164.84328050000292,0
21,648.3956227109252,440.6683656431211,0.010687619656665412,180.29669978679945,0
22,650.5107924283916,440.9465640337895,0.010968940167510646,175.13835005060298,0
23,652.3005369711873,435.07074163126015,0.010373553051557583,186.4793171157224,0
24,652.817040757705,436.9861878684272,0.011241144586911389,183.923167245943,0
25,651.3619772642047,435.7500824043817,0.009892204114223306,187.86993560511027,0
26,654.046611231738,436.5352218155232,0.011104138681762752,180.84371618208777,0
27,655.2321088278859,437.4370090481798,0.009942153953263417,176.5517723095869,0
28,661.6277203605292,441.985104169849,0.010036374595429763,169.16643889418108,0
29,665.4461517294772,434.60551491121663,0.010602721246867905,166.07938176758714,0
30,667.6505705292836,435.21886801615057,0.010965335461025742,159.0597964009894,0
31,674.0781394247917,441.87705889973506,0.012126528992403011,144.62732345308095,0
32,673.9501620621068,447.3599086836264,0.013367349974417426,143.8715410386542,0
33,671.1208088149838,444.6662321229675,0.014927810736376166,138.46127654198165,0
34,655.2953881886235,441.79976420754343,0.014779132543096042,141.86633994147826,0
35,654.1458460732695,448.19681717310834,0.015524129995215743,139.72899440282634,0
