frame,x_mean,y_mean,max_weight,neff,updated_template
0,575.9031210370165,434.5855774450562,0.2345279382536476,7.68007482546739,0
1,575.8369794208811,435.19870307199164,0.8557734718407094,1.362555750649177,0
2,579.3816831400851,433.2947027013431,0.23733895796607232,7.49765993827223,0
3,580.8874556600103,436.1759108219593,0.5646076363570753,2.947579094923627,0
4,587.0687169802958,435.72837535880285,0.26274855892616733,6.195933267153234,0
5,588.5929865263516,435.97315714950815,0.4758942994199642,3.6445242881902162,0
6,591.1912105878594,440.1537540095662,0.43291653493721294,4.33132413417771,0
7,594.4624568633878,447.23314374913434,0.42002413324884424,4.4104018404360605,0
8,597.0685972592667,450.1630517605019,0.4630319917183622,3.995417253849407,0
9,598.119736629693,463.84147963297346,0.46446633055494985,3.743515534958559,0
10,603.643223974381,457.3617462063467,0.3673816698716071,5.201265716646568,0
11,616.0985027717986,409.6470399461677,0.05306971736190016,100.05933352958873,0
12,617.582394918478,419.97275258604327,0.1173686196166962,35.8069072480527,0
13,631.8182413276434,413.22518298757456,0.024927951974639484,135.20952167710715,0
14,630.5279638773536,399.241204658509,0.031461983937911345,132.17172987382875,0
15,635.6675669529691,406.25179883556063,0.04051617864359548,130.41979453029944,0
16,629.0807885340432,420.3435929832232,0.017797102922301238,162.14925846106303,0
17,629.8220825677183,418.05827492546575,0.026915933131026065,152.81008876777278,0
18,634.6974040962955,424.0103786578399,0.026308283774188493,150.83072403972932,0
19,638.5700308972341,424.77067511894745,0.015390702641812424,169.4593448390029,0
20,642.5649846121322,434.06613654768273,0.01005842870769047,176.36260681899034,0
21,640.8264780704607,436.0650058280257,0.009596247165614956,181.93281702193588,0
22,642.9577971328445,439.0762518494754,0.010221598696375893,189.590638636262,0
23,642.889118490567,435.9524790732982,0.013034899264532926,188.99028785631114,0
24,645.4927282918375,432.25704591609264,0.009670230678722871,186.5662434468268,0
25,647.0775452216601,436.7658156512417,0.00932291180522313,185.55397559808492,0
26,645.4586869516704,435.26332706266396,0.009628518229870247,185.3831126447433,0
27,651.5762517657007,435.4032527904533,0.00997845412032247,179.33455192163552,0
28,653.6335356460538,436.8162110688105,0.009906860325310856,173.06268359553522,0
29,656.2192543426994,427.4383619353583,0.010419635233543278,163.9958473086358,0
30,660.01361984047,421.53612749627007,0.010859824949698893,159.73842068692676,0
31,666.0978108060656,421.84614225282553,0.011778946967656427,151.48620555737335,0
32,661.6395330021508,433.72355256482604,0.01349671389675896,145.2222260082504,0
33,662.1766486020007,436.00266246829926,0.013623342677215121,141.15596549070443,0
34,650.0668503680015,435.19257705041304,0.014011298392941572,147.95661966541556,0
35,652.2147956387,446.1465435771321,0.014692346350061305,140.00165511002928,0
36,653.933586053944,445.8757032266072,0.013718437760071549,145.43421213614803,0
37,656.7195618645419,444.40049275020556,0.013814932953782161,144.76810825387994,0
38,644.0563095774774,449.4988009082813,0.01321586321482053,150.66271244962257,0
39,640.104259507835,445.21283544920016,0.012171086524327617,154.08701259431902,0
40,640.566654794923,436.1730079716668,0.011933885202664727,155.60784241993466,0
41,636.0580324298144,440.76236020005956,0.011974581702823043,150.82521154745237,0
42,626.8048223502175,438.75038948518164,0.0111280555006962,170.07175248890815,0
43,629.7061540987546,441.20998277005754,0.011106568988118353,167.00070704763638,0
44,628.0498490625965,438.1791832462951,0.011014597353770557,171.26020301159653,0
45,628.3711422980468,433.888686299985,0.010892611917696152,174.33293788761176,0
46,627.1117245044485,447.64936131530396,0.010385363105210665,174.4881205202515,0
47,623.4527902135844,446.80347092221143,0.010483257324826327,172.84989751231512,0
48,629.0107680698716,437.0489885617411,0.009079315020782058,179.92442536909854,0
49,626.6402244186729,445.30729076086163,0.008826115540536781,184.98868906818925,0
50,618.3373024208356,436.85301788972555,0.007952299725367212,196.7739329169214,0
51,618.943201580316,447.37980835546364,0.008284017420707213,196.08244262010822,0
52,619.063360233873,443.1606411853079,0.007787280676132385,197.81331437297612,0
53,618.227688493876,443.09085482031537,0.007458904418386316,207.98020375755738,0
54,607.4781764117599,445.17505653156195,0.007675082756675345,207.30748959972027,0
55,609.801473111273,448.38548188800155,0.007507281710973643,211.0318050466671,0
56,613.3662339671612,453.33296323709544,0.007382815989926849,210.82053698719523,0
57,614.6593938784898,452.68751358938835,0.0073129845510466075,215.02467593062948,0
58,608.455191082413,443.97846313032926,0.007303235136374204,209.5845981079673,0
59,601.3708420494613,451.8278148334813,0.007582550789244402,203.68933521980392,0
60,602.777604512626,446.5241397934748,0.007636141505642738,200.6407296683849,0
61,601.9857412457513,452.2541685313506,0.007780384600925117,201.0714753512974,0
62,603.2280972024776,462.97659719216756,0.0077219604204450685,204.02836830164432,0
63,598.178561134401,456.72297696385255,0.007690591431454366,204.55773787952165,0
64,590.8603475829043,462.4285593232378,0.007814389802546924,200.73274220741675,0
65,581.9688531679523,463.9723321193868,0.007526880433638873,209.87887645711515,0
66,585.7473458612621,471.3660452076822,0.007378309726155336,208.53076783125726,0
67,582.914275303188,470.69639307433204,0.007427186735841482,205.9637342264677,0
68,580.477529599147,474.6377237858304,0.007580560305747265,210.36035622637726,0
69,576.075358503574,464.7853709384085,0.007263319141471691,214.64480061610732,0
70,576.6023428971398,477.95087164577114,0.007690409497484191,208.0690633082365,0
71,575.5970979950989,470.3266980978662,0.007174224594317416,221.96965174458762,0
72,576.2728432417869,475.44817004272875,0.00764852367935737,203.17107313518042,0
73,572.5328742006772,475.53501831476524,0.007764962891064567,205.59536947483295,0
74,567.3813528320984,473.61406339416646,0.007706725945488018,207.70864565421155,0
75,577.0842685145844,474.00254284648895,0.007880347092790145,209.8408774828705,0
76,569.9728991182974,469.9864777365228,0.008085370764833082,210.13841921728252,0
77,563.7178154236788,465.5872407210302,0.008550614658589592,206.44139395875823,0
78,561.3120854673086,473.42698722986154,0.008108231697375136,206.63025426539576,0
79,554.7133312995476,468.4078192283257,0.008879791096820347,200.575674552946,0
80,561.9095090048256,468.9851305965033,0.009211498230759178,192.863735602704,0
81,560.8722123836103,476.64351389534716,0.008602246730643675,205.64701616235445,0
82,560.3847794918318,480.64737959557624,0.009145918378537687,200.07936426684063,0
83,555.3079583494621,474.75673997168866,0.010493286391243499,190.08772354358013,0
84,560.7524417143968,480.40242220477404,0.010619362354278688,180.53485611488128,0
85,556.6022090588451,478.27791299186924,0.010849453354901997,184.0505659425556,0
86,553.6696204208215,474.66220378169135,0.010576360290662041,182.538563541802,0
87,555.0465304783509,475.05037246810116,0.010857053199992847,186.6604627990669,0
88,555.9696425164511,483.17659671175716,0.010825939346954049,183.45300795984357,0
89,545.8179964035367,479.9150001194862,0.011191227648131609,179.1031846352845,0
90,529.8565516083161,476.3542969516445,0.011887646448073648,177.18072650077835,0
91,523.2198829500014,479.72571631930794,0.012144839593900138,171.39817010737966,0
92,523.870108482065,481.16046849992017,0.01155984866956231,173.897934961346,0
93,525.2071474319389,478.9111131191831,0.011246464820517738,167.22932402480302,0
94,529.129595605232,479.616141629421,0.012390266439812603,158.91316216855228,0
95,547.538584289794,479.0789179720426,0.012376633474626366,158.23959067033854,0
96,528.7860222532229,484.60434374761564,0.012535988008429358,156.91756566494902,0
97,537.6785645648539,485.9948668445876,0.013385370569664299,153.32151878784413,0
98,527.5215846272272,484.76635116022396,0.01341147813324372,148.75314740509054,0
99,530.3399325067717,488.34422192021833,0.01512759100323809,146.9252469930998,0
100,532.0455617789958,491.3687367619399,0.01443074279766333,140.26651753799624,0
101,530.4475475051097,490.97372401467896,0.015594933905609587,141.53865106363818,0
102,525.1078028325458,493.23298489380915,0.017522367255854543,131.57087567214097,0
103,540.3431753217264,487.8499455945763,0.01839246634156127,125.7808010327504,0
104,528.8296588910725,486.64275826573294,0.018103447728040626,119.70567846782257,0
105,524.2006419351055,481.74570174117554,0.019963604421339026,119.1023409653555,0
106,518.0405826736129,485.2577409513678,0.02077690734160663,117.23274853195082,0
107,515.0746045105043,477.94499094254707,0.01834947043593977,123.80619720843748,0
108,513.375879312702,476.83937331868106,0.02225539954017002,117.8014818976395,0
109,516.2690863108512,469.6202936268397,0.02158867334657051,111.24567085165725,0
110,532.3567398163146,472.11562790884864,0.02120845101424919,112.51120629419327,0
111,531.4745070292005,469.5341284893064,0.02253120369243941,115.06066342004539,0
